month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Nov 2016,86.95,72.23,38.29,10.78,0.00,8.21,47.17,41.03,0.00,0.00,14.39,0.00,45.13,0.73,24.62,66.29,41.58,58.00,#DIV/0!,0.00,73.85,21.88,50.70,2.13,0.00,64.92,3.25,30.67,72.20,1.47,0.00,2.05,0.00,2.40,3.75,40.67,0.00,0.00,0.00,39.00,0.00,0.00,27.35,0.00,49.00,47.28,0.00,26.97,8.21,9.48,32.82,55.07,34.98,78.27,0.00,100.00,0.00,0.00,12.12,7.76,17.39,2.40
Dec 2016,60.60,53.95,60.81,100.00,0.00,7.93,27.36,19.83,0.00,0.00,13.91,0.00,43.62,0.00,39.66,49.01,0.00,35.68,#DIV/0!,0.00,76.88,5.29,6.13,0.00,0.00,59.62,3.14,29.65,85.89,0.00,0.00,3.97,2.46,0.00,0.00,39.31,0.00,23.90,0.00,31.41,6.31,0.00,27.76,5.02,100.00,51.42,0.00,34.76,23.80,16.71,47.59,44.36,27.05,25.22,0.00,17.26,2.85,0.00,39.54,6.25,0.00,9.30
Jan 2017,100.00,75.16,50.09,2.96,0.00,15.03,60.47,18.79,0.00,3.03,0.00,3.43,30.06,0.67,37.57,67.85,50.77,43.46,#DIV/0!,0.00,65.89,12.52,23.21,7.80,0.00,56.48,2.98,46.81,53.40,0.67,0.00,7.51,0.00,2.20,3.43,59.59,0.00,45.28,0.00,41.66,0.00,0.00,27.55,0.00,74.79,86.59,0.66,41.16,26.30,22.98,52.60,50.43,38.44,77.65,0.00,13.08,2.70,7.51,15.26,3.55,0.00,0.00
Feb 2017,63.30,67.44,45.48,1.05,1.42,24.08,18.46,16.05,0.00,0.00,14.08,0.00,40.13,0.00,40.13,61.03,27.11,77.37,#DIV/0!,0.00,77.80,16.05,6.20,4.17,0.00,57.16,3.18,30.00,51.61,0.00,0.00,8.03,0.00,4.69,1.83,47.74,0.00,24.18,1.57,25.43,0.00,0.00,28.09,5.08,47.93,46.25,0.00,17.59,4.01,12.55,24.08,35.92,41.06,38.28,0.00,6.99,8.66,24.08,8.15,3.79,0.00,4.70
Mar 2017,53.29,77.87,57.66,2.84,0.00,21.62,16.57,39.64,0.00,0.00,37.92,0.00,75.68,0.00,28.83,68.51,24.35,37.06,#DIV/0!,0.00,74.30,12.01,11.13,3.74,0.00,42.77,0.00,26.94,63.42,0.65,0.00,2.70,0.00,2.11,3.29,57.16,0.00,0.00,0.00,39.97,2.86,0.00,40.84,2.28,86.09,83.06,0.63,39.48,21.62,12.25,64.87,72.57,24.58,57.30,0.00,0.00,5.18,14.42,9.98,9.09,0.00,8.45
Apr 2017,62.52,58.44,41.00,1.01,0.00,7.69,53.03,19.22,0.00,1.55,40.45,0.00,38.44,0.00,30.75,47.50,25.97,29.64,#DIV/0!,0.00,91.66,20.50,11.87,3.99,0.00,45.62,0.00,47.90,49.43,0.69,0.00,4.80,2.38,4.50,0.00,60.97,1.22,23.16,1.50,36.54,0.00,35.92,44.85,0.00,56.12,60.91,1.34,25.27,15.38,11.49,30.75,51.60,58.99,61.12,0.00,6.69,0.00,38.44,34.06,7.27,0.00,0.00
May 2017,88.66,39.81,53.58,0.00,1.36,0.00,61.60,26.79,0.00,0.00,13.42,0.00,53.58,0.00,38.27,61.84,64.64,59.03,#DIV/0!,0.00,74.19,20.41,5.91,9.93,0.00,75.70,0.00,57.23,51.81,0.69,0.00,5.74,0.00,2.24,3.50,49.32,0.00,92.24,0.00,42.44,3.04,0.00,28.07,0.00,66.03,44.11,0.67,16.77,19.14,5.20,38.27,34.25,65.26,36.51,0.00,0.00,5.50,38.27,4.95,7.24,0.00,4.49
Jun 2017,70.10,61.78,48.76,1.07,0.00,8.13,9.34,20.32,0.00,0.00,14.25,0.00,44.70,0.72,48.76,61.80,41.18,52.23,#DIV/0!,0.00,59.39,13.54,0.00,0.00,0.00,35.36,3.22,40.50,38.50,0.73,0.00,4.06,0.00,0.00,0.00,28.20,0.00,24.48,0.00,25.75,6.46,0.00,47.41,5.14,75.49,29.27,0.71,80.13,20.32,3.87,40.63,100.00,20.79,32.30,0.00,0.00,2.92,8.13,5.25,12.81,0.00,4.76
Jul 2017,83.07,38.53,64.20,0.00,0.00,0.00,18.45,12.04,0.00,0.00,28.15,0.00,60.19,0.00,24.08,68.66,40.67,72.21,#DIV/0!,0.00,77.17,10.70,0.00,6.25,0.00,34.92,0.00,100.00,40.74,1.44,0.00,3.01,0.00,7.04,0.00,39.78,0.00,24.18,0.00,38.14,0.00,0.00,30.76,0.00,63.90,46.24,1.40,43.96,12.04,3.27,32.10,35.91,20.53,44.66,0.00,0.00,0.00,0.00,0.00,12.65,5.67,2.35
Aug 2017,82.90,48.94,68.80,0.00,0.00,15.29,61.52,30.58,0.00,0.00,13.41,0.00,38.22,1.36,22.93,50.87,38.74,54.04,#DIV/0!,0.00,82.33,12.74,0.00,87.29,0.00,60.48,0.00,57.15,33.63,100.00,100.00,6.69,0.00,4.47,3.49,41.68,0.00,0.00,0.00,60.55,0.00,0.00,33.13,0.00,35.51,44.05,0.00,67.00,11.47,5.72,45.87,51.31,13.04,66.85,0.00,0.00,0.00,7.64,4.23,100.00,0.00,4.48
Sep 2017,65.30,68.60,70.14,0.00,0.00,15.59,53.76,23.38,0.00,1.57,13.67,0.00,62.35,0.00,15.59,48.15,39.49,85.14,#DIV/0!,0.00,85.13,5.20,6.02,26.29,0.00,73.99,0.00,58.27,31.65,27.93,24.10,10.72,0.00,6.84,3.56,50.22,0.00,23.48,0.00,30.87,3.10,0.00,27.28,0.00,41.37,39.29,100.00,51.23,19.48,7.42,23.38,17.44,6.64,49.56,0.00,0.00,0.00,15.59,1.44,36.85,27.53,0.00
Oct 2017,64.13,98.17,81.78,0.00,0.00,14.87,34.19,48.33,0.00,1.50,13.04,3.39,74.35,0.00,44.61,49.47,37.67,52.56,#DIV/0!,0.00,94.94,24.78,5.74,0.00,0.00,100.00,5.89,46.32,75.48,2.00,0.00,3.72,0.00,100.00,1.70,55.28,0.00,22.40,0.00,41.22,0.00,0.00,43.37,2.35,74.00,32.13,36.99,40.72,22.30,6.06,59.48,66.54,6.34,29.55,0.00,0.00,0.00,14.87,1.37,10.55,26.26,0.00
Nov 2017,46.01,74.70,77.17,0.00,0.00,29.87,85.86,18.67,0.00,0.00,0.00,0.00,41.07,0.67,52.28,53.24,50.45,52.79,#DIV/0!,0.00,78.70,12.45,5.77,0.00,0.00,41.36,0.00,18.61,78.35,0.67,1.78,5.60,0.00,2.18,0.00,40.72,0.00,22.50,1.46,65.07,2.97,0.00,11.20,0.00,59.47,64.55,3.91,65.45,22.40,5.58,52.28,41.77,44.57,65.30,0.00,3.25,0.00,7.47,2.76,5.88,0.00,8.75
Dec 2017,57.89,51.54,50.51,0.00,2.68,15.15,34.84,30.31,0.00,1.53,13.29,0.00,41.67,0.68,30.31,75.62,51.19,48.69,#DIV/0!,0.00,82.76,17.68,0.00,1.97,0.00,35.97,3.00,47.20,100.00,2.04,0.00,1.89,0.00,0.00,1.73,63.84,0.00,45.65,0.00,60.02,0.00,0.00,27.78,2.40,90.50,54.57,5.95,41.50,15.15,3.60,30.31,67.81,64.60,30.12,0.00,0.00,0.00,15.15,2.80,3.58,37.47,11.10
