month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Oct 2016,10.10,4.42,6.62,1.58,0.00,0.32,0.95,1.26,0.00,0.32,2.21,0.00,3.47,0.00,1.26,3.15,0.63,1.89,0.00,0.00,32.81,1.58,0.63,1.26,0.00,4.42,9.78,1.58,7.26,0.32,0.00,0.32,0.00,0.32,0.32,2.21,0.00,0.63,0.00,1.26,0.95,0.00,8.83,0.00,4.10,2.52,0.00,3.15,1.58,6.94,1.58,1.89,0.95,2.21,0.00,0.95,0.00,0.63,6.62,1.26,0.00,0.00
Nov 2016,13.66,6.99,4.45,3.18,0.00,0.32,1.59,3.18,0.00,0.00,0.32,0.00,3.50,0.32,0.95,5.40,0.95,3.50,0.00,0.00,37.18,2.54,2.54,0.32,0.00,6.36,0.32,0.95,8.26,0.64,0.00,0.64,0.00,0.32,0.64,3.18,0.00,0.00,0.00,1.91,0.00,0.00,6.36,0.00,2.86,2.54,0.00,0.95,0.64,5.40,1.27,1.91,1.59,3.81,0.00,8.90,0.00,0.00,5.08,1.91,0.95,0.32
Dec 2016,9.52,5.22,7.07,29.49,0.00,0.31,0.92,1.54,0.00,0.00,0.31,0.00,3.38,0.00,1.54,3.99,0.00,2.15,0.00,0.00,38.71,0.61,0.31,0.00,0.00,5.84,0.31,0.92,9.83,0.00,0.00,1.23,0.31,0.00,0.00,3.07,0.00,0.31,0.00,1.54,0.61,0.00,6.45,0.61,5.84,2.76,0.00,1.23,1.84,9.52,1.84,1.54,1.23,1.23,0.00,1.54,0.31,0.00,16.59,1.54,0.00,1.23
Jan 2017,15.71,7.28,5.82,0.87,0.00,0.58,2.04,1.46,0.00,0.58,0.00,0.29,2.33,0.29,1.46,5.53,1.16,2.62,0.00,0.00,33.18,1.46,1.16,1.16,0.00,5.53,0.29,1.46,6.11,0.29,0.00,2.33,0.00,0.29,0.58,4.66,0.00,0.58,0.00,2.04,0.00,0.00,6.40,0.00,4.37,4.66,0.29,1.46,2.04,13.10,2.04,1.75,1.75,3.78,0.00,1.16,0.29,0.29,6.40,0.87,0.00,0.00
Feb 2017,9.95,6.53,5.28,0.31,0.31,0.93,0.62,1.24,0.00,0.00,0.31,0.00,3.11,0.00,1.55,4.97,0.62,4.66,0.00,0.00,39.17,1.87,0.31,0.62,0.00,5.60,0.31,0.93,5.91,0.00,0.00,2.49,0.00,0.62,0.31,3.73,0.00,0.31,0.31,1.24,0.00,0.00,6.53,0.62,2.80,2.49,0.00,0.62,0.31,7.15,0.93,1.24,1.87,1.87,0.00,0.62,0.93,0.93,3.42,0.93,0.00,0.62
Mar 2017,8.37,7.54,6.70,0.84,0.00,0.84,0.56,3.07,0.00,0.00,0.84,0.00,5.86,0.00,1.12,5.58,0.56,2.23,0.00,0.00,37.41,1.40,0.56,0.56,0.00,4.19,0.00,0.84,7.26,0.28,0.00,0.84,0.00,0.28,0.56,4.47,0.00,0.00,0.00,1.95,0.28,0.00,9.49,0.28,5.02,4.47,0.28,1.40,1.67,6.98,2.51,2.51,1.12,2.79,0.00,0.00,0.56,0.56,4.19,2.23,0.00,1.12
Apr 2017,9.83,5.66,4.76,0.30,0.00,0.30,1.79,1.49,0.00,0.30,0.89,0.00,2.98,0.00,1.19,3.87,0.60,1.79,0.00,0.00,46.15,2.38,0.60,0.60,0.00,4.47,0.00,1.49,5.66,0.30,0.00,1.49,0.30,0.60,0.00,4.76,0.30,0.30,0.30,1.79,0.00,0.30,10.42,0.00,3.28,3.28,0.60,0.89,1.19,6.55,1.19,1.79,2.68,2.98,0.00,0.60,0.00,1.49,14.29,1.79,0.00,0.00
May 2017,13.93,3.85,6.23,0.00,0.30,0.00,2.08,2.08,0.00,0.00,0.30,0.00,4.15,0.00,1.48,5.04,1.48,3.56,0.00,0.00,37.35,2.37,0.30,1.48,0.00,7.41,0.00,1.78,5.93,0.30,0.00,1.78,0.00,0.30,0.59,3.85,0.00,1.19,0.00,2.08,0.30,0.00,6.52,0.00,3.85,2.37,0.30,0.59,1.48,2.96,1.48,1.19,2.96,1.78,0.00,0.00,0.59,1.48,2.08,1.78,0.00,0.59
Jun 2017,11.02,5.98,5.67,0.31,0.00,0.31,0.31,1.57,0.00,0.00,0.31,0.00,3.46,0.31,1.89,5.04,0.94,3.15,0.00,0.00,29.90,1.57,0.00,0.00,0.00,3.46,0.31,1.26,4.41,0.31,0.00,1.26,0.00,0.00,0.00,2.20,0.00,0.31,0.00,1.26,0.63,0.00,11.02,0.63,4.41,1.57,0.31,2.83,1.57,2.20,1.57,3.46,0.94,1.57,0.00,0.00,0.31,0.31,2.20,3.15,0.00,0.63
Jul 2017,13.05,3.73,7.46,0.00,0.00,0.00,0.62,0.93,0.00,0.00,0.62,0.00,4.66,0.00,0.93,5.59,0.93,4.35,0.00,0.00,38.85,1.24,0.00,0.93,0.00,3.42,0.00,3.11,4.66,0.62,0.00,0.93,0.00,0.93,0.00,3.11,0.00,0.31,0.00,1.86,0.00,0.00,7.15,0.00,3.73,2.49,0.62,1.55,0.93,1.86,1.24,1.24,0.93,2.18,0.00,0.00,0.00,0.00,0.00,3.11,0.31,0.31
Aug 2017,13.03,4.74,7.99,0.00,0.00,0.59,2.07,2.37,0.00,0.00,0.30,0.00,2.96,0.59,0.89,4.14,0.89,3.26,0.00,0.00,41.45,1.48,0.00,13.03,0.00,5.92,0.00,1.78,3.85,43.23,32.57,2.07,0.00,0.59,0.59,3.26,0.00,0.00,0.00,2.96,0.00,0.00,7.70,0.00,2.07,2.37,0.00,2.37,0.89,3.26,1.78,1.78,0.59,3.26,0.00,0.00,0.00,0.30,1.78,24.57,0.00,0.59
Sep 2017,10.26,6.64,8.15,0.00,0.00,0.60,1.81,1.81,0.00,0.30,0.30,0.00,4.83,0.00,0.60,3.92,0.91,5.13,0.00,0.00,42.86,0.60,0.30,3.92,0.00,7.24,0.00,1.81,3.62,12.07,7.85,3.32,0.00,0.91,0.60,3.92,0.00,0.30,0.00,1.51,0.30,0.00,6.34,0.00,2.41,2.11,44.37,1.81,1.51,4.23,0.91,0.60,0.30,2.41,0.00,0.00,0.00,0.60,0.60,9.05,1.51,0.00
Oct 2017,10.08,9.50,9.50,0.00,0.00,0.58,1.15,3.74,0.00,0.29,0.29,0.29,5.76,0.00,1.73,4.03,0.86,3.17,0.00,0.00,47.80,2.88,0.29,0.00,0.00,9.79,0.58,1.44,8.64,0.86,0.00,1.15,0.00,13.25,0.29,4.32,0.00,0.29,0.00,2.02,0.00,0.00,10.08,0.29,4.32,1.73,16.41,1.44,1.73,3.46,2.30,2.30,0.29,1.44,0.00,0.00,0.00,0.58,0.58,2.59,1.44,0.00
Nov 2017,7.23,7.23,8.97,0.00,0.00,1.16,2.89,1.45,0.00,0.00,0.00,0.00,3.18,0.29,2.02,4.34,1.16,3.18,0.00,0.00,39.62,1.45,0.29,0.00,0.00,4.05,0.00,0.58,8.97,0.29,0.58,1.74,0.00,0.29,0.00,3.18,0.00,0.29,0.29,3.18,0.29,0.00,2.60,0.00,3.47,3.47,1.74,2.31,1.74,3.18,2.02,1.45,2.02,3.18,0.00,0.29,0.00,0.29,1.16,1.45,0.00,1.16
